Name	Local	International	Total
Monash University	42339	22140	64479
RMIT University	30843	26590	57433
University of Sydney	42028	12278	54306
University of New South Wales	39194	13132	52326
University of Melbourne	38091	14166	52257
University of Queensland	37252	11519	48771
Curtin University of Technology	32665	15598	48263
Deakin University	38432	7468	45900
Queensland University of Technology	38423	7157	45580
Griffith University	33980	9216	43196
University of Western Sydney	37531	4333	41864
Charles Sturt University	33149	5944	39093
Macquarie University	28724	10069	38793
University of Technology Sydney	27584	10054	37638
University of Newcastle	30544	5904	36448
La Trobe University	26263	7629	33892
University of South Australia	25520	7428	32948
Swinburne University of Technology	22770	9016	31786
University of Wollongong	18194	12360	30554
Victoria University	17969	9199	27168
University of Tasmania	21940	4872	26812
University of Southern Queensland	21536	5183	26719
Edith Cowan University	22202	4239	26441
University of Adelaide	19448	6935	26383
University of Western Australia	20596	5241	25837
Australian Catholic University	22758	2920	25678
Murdoch University	14329	9809	24138
Flinders University	18995	3812	22807
James Cook University	14857	7032	21889
Australian National University	15368	5566	20934
University of New England	19833	1079	20912
Central Queensland University	14450	4399	18849
University of Canberra	12523	3811	16334
Southern Cross University	12427	1942	14369
Federation University Australia	6609	6332	12941
University of Notre Dame Australia	10633	327	10960
Charles Darwin University	9687	1161	10848
University of Sunshine Coast	9546	1210	10756
Bond University	3695	2367	6062
